,VRSB
0,16.0
1,16.0
2,16.0
3,16.0
4,16.0
5,16.0
6,16.0
7,15.670000076293945
8,15.670000076293945
9,15.800000190734863
10,15.5
11,15.5
12,15.5
13,15.5
14,15.5
15,15.5
16,16.0
17,16.0
18,16.0
19,16.0
20,16.0
21,16.0
22,16.0
23,17.099000930786133
24,16.899999618530273
25,16.899999618530273
26,16.899999618530273
27,16.899999618530273
28,16.899999618530273
29,16.899999618530273
30,16.899999618530273
31,16.899999618530273
32,16.899999618530273
33,16.0
34,16.0
35,16.0
36,16.0
37,16.0
38,16.0
39,16.0
40,16.0
41,16.0
42,16.0
43,16.0
44,16.0
45,16.0
46,16.0
47,16.0
48,16.0
49,16.0
50,16.0
51,16.0
52,16.549999237060547
53,16.549999237060547
54,16.549999237060547
55,16.549999237060547
56,16.549999237060547
57,16.549999237060547
58,16.5
59,14.5
60,14.5
61,14.5
62,14.5
63,16.00200080871582
64,16.00200080871582
65,16.00200080871582
66,16.00200080871582
67,16.299999237060547
68,16.299999237060547
69,14.300000190734863
70,14.300000190734863
71,14.300000190734863
72,14.300000190734863
73,14.300000190734863
74,14.300000190734863
75,14.300000190734863
76,14.300000190734863
77,14.300000190734863
78,16.1200008392334
79,16.1200008392334
80,16.450000762939453
81,16.1200008392334
82,16.1200008392334
83,16.121000289916992
84,16.121000289916992
85,16.121000289916992
86,16.121000289916992
87,16.121000289916992
88,16.121000289916992
89,16.121000289916992
90,16.121000289916992
91,16.121000289916992
92,16.121000289916992
93,16.121000289916992
94,16.121000289916992
95,16.121000289916992
96,16.121000289916992
97,16.121000289916992
98,16.121000289916992
99,16.121000289916992
100,16.121000289916992
101,16.121000289916992
102,16.850000381469727
103,16.850000381469727
104,16.850000381469727
105,16.950000762939453
106,16.350000381469727
107,16.149999618530273
108,16.149999618530273
109,16.149999618530273
110,16.149999618530273
111,16.149999618530273
112,16.149999618530273
113,16.149999618530273
114,16.149999618530273
115,16.149999618530273
116,16.149999618530273
117,16.149999618530273
118,16.149999618530273
119,16.149999618530273
120,16.149999618530273
121,16.149999618530273
122,16.149999618530273
123,16.149999618530273
124,16.149999618530273
125,16.149999618530273
126,16.149999618530273
127,16.149999618530273
128,16.149999618530273
129,16.149999618530273
130,16.149999618530273
131,16.149999618530273
132,16.149999618530273
133,16.149999618530273
134,13.5
135,13.5
136,13.5
137,13.5
138,13.777000427246094
139,13.777000427246094
140,13.777000427246094
141,13.777000427246094
142,13.777000427246094
143,13.777000427246094
144,12.600000381469727
145,12.510000228881836
146,12.510000228881836
147,12.510000228881836
148,12.510000228881836
