,BLNG
124,2.740000009536743
125,2.5490000247955322
126,2.7190001010894775
127,2.638000011444092
128,2.6480000019073486
129,2.8949999809265137
130,2.8399999141693115
131,2.624000072479248
132,2.6610000133514404
133,2.7009999752044678
134,2.7769999504089355
135,2.9070000648498535
136,2.9749999046325684
137,2.950000047683716
138,2.8310000896453857
139,2.940000057220459
140,2.9660000801086426
141,3.0
142,2.9679999351501465
143,3.065000057220459
144,3.069999933242798
145,3.063999891281128
146,3.0179998874664307
147,2.940000057220459
148,2.878000020980835
149,2.9000000953674316
150,2.934999942779541
151,2.940000057220459
152,2.9709999561309814
153,3.0399999618530273
154,3.0230000019073486
155,2.9019999504089355
156,2.9040000438690186
157,2.9010000228881836
158,2.928999900817871
159,3.0369999408721924
160,3.0999999046325684
161,3.0409998893737793
162,3.0910000801086426
163,3.197000026702881
164,3.2239999771118164
165,3.190000057220459
166,3.3989999294281006
167,3.309000015258789
168,3.428999900817871
169,3.5290000438690186
170,3.5989999771118164
171,3.553999900817871
172,3.5859999656677246
173,3.4140000343322754
174,3.38100004196167
175,3.437000036239624
176,3.5199999809265137
177,3.5350000858306885
178,3.503999948501587
179,3.4700000286102295
180,3.378999948501587
181,3.3980000019073486
182,3.421999931335449
183,3.437999963760376
184,3.4140000343322754
185,3.444999933242798
186,3.4839999675750732
187,3.437000036239624
188,3.382999897003174
189,3.385999917984009
190,3.312999963760376
191,3.318000078201294
192,3.388000011444092
193,3.431999921798706
194,3.5199999809265137
195,3.5940001010894775
196,3.4800000190734863
197,3.4660000801086426
198,3.4570000171661377
199,3.3980000019073486
200,3.4140000343322754
201,3.3459999561309814
202,3.2929999828338623
203,3.1489999294281006
204,3.178999900817871
205,3.2200000286102295
206,3.125
207,3.1689999103546143
208,3.1500000953674316
209,3.1500000953674316
210,3.130000114440918
211,3.1389999389648438
212,3.0789999961853027
213,2.996999979019165
214,2.9760000705718994
215,2.9739999771118164
216,2.990999937057495
217,2.9700000286102295
218,2.8989999294281006
219,2.888000011444092
220,2.8570001125335693
221,2.8989999294281006
222,2.861999988555908
223,2.8589999675750732
224,2.8499999046325684
225,2.865000009536743
226,2.7990000247955322
